,Fund1,Fund2,DTW_distance
151,AMG Montrusco Bolton Large Cap Growth Fd,Voya Large Cap Growth Port,1020.1430919246695
152,AMG Montrusco Bolton Large Cap Growth Fd,Wedgewood Fund,656.313064683033
153,Alger Capital Appreciation Fund,Alger Capital Appreciation Instl Fd,404.5163326491995
154,Alger Capital Appreciation Fund,Alger Spectra Fund,383.4391325915954
155,Alger Capital Appreciation Fund,Allspring Growth Fund,565.0066093834791
156,Alger Capital Appreciation Fund,Allspring Large Cap Growth Fund,535.2888328539768
157,Alger Capital Appreciation Fund,Allspring Premier Large Company GrFd,704.9920566300784
158,Alger Capital Appreciation Fund,American Century NT Growth Fund,608.8513010057134
159,Alger Capital Appreciation Fund,American Century Select Fund,473.0520446112717
160,Alger Capital Appreciation Fund,BNY Mellon Research Growth Fund,438.8674951829757
161,Alger Capital Appreciation Fund,BlackRock Capital Appreciation Fund,531.4967966498396
162,Alger Capital Appreciation Fund,BlackRock Large Cap Focus Growth Fund,430.54770224511947
163,Alger Capital Appreciation Fund,Calamos Growth Fund,1073.8737507648711
164,Alger Capital Appreciation Fund,Calvert Equity Fund,851.5009463502541
165,Alger Capital Appreciation Fund,ClearBridge Large Cap Growth Fund,520.2051283635486
166,Alger Capital Appreciation Fund,Columbia Large Cap Growth Fund,451.1787056463544
167,Alger Capital Appreciation Fund,Columbia Large Cap Growth Opportunity Fd,564.1881515063521
168,Alger Capital Appreciation Fund,Columbia Select Large Cap Growth Fund,1561.9825150672189
169,Alger Capital Appreciation Fund,DWS Capital Growth Fund,415.6881345363448
170,Alger Capital Appreciation Fund,Delaware Ivy Accumulative Fund,960.4503590303085
171,Alger Capital Appreciation Fund,Delaware Ivy Large Cap Growth Fund,453.80909376139266
172,Alger Capital Appreciation Fund,Edgewood Growth Fund,681.7484462983665
173,Alger Capital Appreciation Fund,Elfun Trusts,953.1702342712405
174,Alger Capital Appreciation Fund,Federated Hermes Kaufmann Lrg Cp Fd,503.0912182898638
175,Alger Capital Appreciation Fund,Fidelity Advisor® Equity Growth Fund,566.7873678096573
176,Alger Capital Appreciation Fund,Fidelity Advisor® Growth Opps Fd,809.3919779157652
177,Alger Capital Appreciation Fund,Fidelity® Capital Appreciation Fund,430.2771566742341
178,Alger Capital Appreciation Fund,Fidelity® Focused Stock Fund,729.0997638773
179,Alger Capital Appreciation Fund,Fidelity® Growth Discovery Fund,412.4934575210922
180,Alger Capital Appreciation Fund,Fidelity® Large Cap Growth Enh Idx Fd,424.695134722839
181,Alger Capital Appreciation Fund,Fidelity® Trend Fund,375.80403993471487
182,Alger Capital Appreciation Fund,GuideStone Funds Growth Equity Fund,464.7146393639965
183,Alger Capital Appreciation Fund,Hartford Growth Opportunities Fund,863.5589328947511
184,Alger Capital Appreciation Fund,Invesco Capital Appreciation Fd,598.8177320346009
185,Alger Capital Appreciation Fund,Invesco Summit Fund,534.7054120059577
186,Alger Capital Appreciation Fund,JHFunds2 Capital Appreciation Fund,641.4032562178888
187,Alger Capital Appreciation Fund,JHancock Blue Chip Growth Fund,538.6259233840198
188,Alger Capital Appreciation Fund,JHancock US Global Leaders Growth Fund,539.6135125004602
189,Alger Capital Appreciation Fund,JNL/BlackRock Large Cap Select Growth Fd,402.6573238866038
190,Alger Capital Appreciation Fund,JNL/T. Rowe Price Established Growth Fd,468.2430200600721
191,Alger Capital Appreciation Fund,Jackson Square Large Cap Growth Fd,620.8406709155075
192,Alger Capital Appreciation Fund,Janus Henderson Forty Fund,509.3725745410178
193,Alger Capital Appreciation Fund,Janus Henderson Research Fund,430.5318337968571
194,Alger Capital Appreciation Fund,John Hancock Funds III U.S. Growth Fd,425.9012514505838
195,Alger Capital Appreciation Fund,Loomis Sayles Growth Fund,474.6025188513801
196,Alger Capital Appreciation Fund,Lord Abbett Growth Leaders Fund,663.4571784652367
197,Alger Capital Appreciation Fund,MFS Massachusetts Investors Gr Stk Fund,619.8847703481209
198,Alger Capital Appreciation Fund,MainStay WMC Growth Fd,496.84111279866516
199,Alger Capital Appreciation Fund,Morgan Stanley Insight Fund,1232.9537922811003
200,Alger Capital Appreciation Fund,Neuberger Berman Large Cap Growth Fund,565.8094039533593
201,Alger Capital Appreciation Fund,Nuveen Winslow Large-Cap Growth ESG Fund,445.65476997391283
202,Alger Capital Appreciation Fund,Optimum Large Cap Growth Fund,478.22229834113654
203,Alger Capital Appreciation Fund,PACE Large Co Growth Equity Invmt,449.285012258991
204,Alger Capital Appreciation Fund,PGIM Jennison Blend Fund,503.934443762502
205,Alger Capital Appreciation Fund,PGIM Jennison Growth Fund,696.4531654645373
206,Alger Capital Appreciation Fund,Pioneer Disciplined Growth Fund,472.5152344294318
207,Alger Capital Appreciation Fund,Pioneer Fundamental Growth Fund,729.5715415658808
208,Alger Capital Appreciation Fund,Polen Growth Fund,533.6738821454127
209,Alger Capital Appreciation Fund,PrimeCap Odyssey Growth Fund,755.507714427443
210,Alger Capital Appreciation Fund,Principal LargeCap Growth Fund I,394.3905367131928
211,Alger Capital Appreciation Fund,Putnam Large Cap Growth Fund,448.41966334450706
212,Alger Capital Appreciation Fund,Putnam Sustainable Leaders Fund,491.13632686248775
213,Alger Capital Appreciation Fund,SEI Large Cap Growth (SIMT) Fund,559.6167349964707
214,Alger Capital Appreciation Fund,Schwab Select Large Cap Growth Fund,469.8314302053322
215,Alger Capital Appreciation Fund,T. Rowe Price Instl Large Cap Core Gr Fd,530.6527826746344
216,Alger Capital Appreciation Fund,TCW Select Equities Fund,716.9480699635415
217,Alger Capital Appreciation Fund,TIAA-CREF Large-Cap Growth Fund,656.380414622312
218,Alger Capital Appreciation Fund,Thrivent Large Cap Growth Fund,350.12905613220727
219,Alger Capital Appreciation Fund,Transamerica Capital Growth Fund,1008.3614069578133
220,Alger Capital Appreciation Fund,Transamerica US Growth,498.26749587757877
221,Alger Capital Appreciation Fund,VALIC Company I Growth Fund,466.5348648788347
222,Alger Capital Appreciation Fund,VY® T. Rowe Price Growth Equity Port,425.69684290187945
223,Alger Capital Appreciation Fund,Vanguard US Growth Portfolio,617.1483416672528
224,Alger Capital Appreciation Fund,Victory Aggressive Growth,501.1807374476634
225,Alger Capital Appreciation Fund,Victory Growth,445.6692166569469
226,Alger Capital Appreciation Fund,Voya Large Cap Growth Port,650.7080232848685
227,Alger Capital Appreciation Fund,Wedgewood Fund,747.1209586757037
228,Alger Capital Appreciation Instl Fd,Alger Spectra Fund,441.44426978013115
229,Alger Capital Appreciation Instl Fd,Allspring Growth Fund,518.0398847366671
230,Alger Capital Appreciation Instl Fd,Allspring Large Cap Growth Fund,753.5301674828622
231,Alger Capital Appreciation Instl Fd,Allspring Premier Large Company GrFd,572.2352441482728
232,Alger Capital Appreciation Instl Fd,American Century NT Growth Fund,816.4445510852971
233,Alger Capital Appreciation Instl Fd,American Century Select Fund,716.5550191985054
234,Alger Capital Appreciation Instl Fd,BNY Mellon Research Growth Fund,722.26269215486
235,Alger Capital Appreciation Instl Fd,BlackRock Capital Appreciation Fund,524.2728048267281
236,Alger Capital Appreciation Instl Fd,BlackRock Large Cap Focus Growth Fund,759.6322486853392
237,Alger Capital Appreciation Instl Fd,Calamos Growth Fund,1074.7277214083695
238,Alger Capital Appreciation Instl Fd,Calvert Equity Fund,898.6079014919484
239,Alger Capital Appreciation Instl Fd,ClearBridge Large Cap Growth Fund,545.2526642104351
240,Alger Capital Appreciation Instl Fd,Columbia Large Cap Growth Fund,702.8760227209658
241,Alger Capital Appreciation Instl Fd,Columbia Large Cap Growth Opportunity Fd,787.5087430401925
242,Alger Capital Appreciation Instl Fd,Columbia Select Large Cap Growth Fund,1256.923076787567
243,Alger Capital Appreciation Instl Fd,DWS Capital Growth Fund,675.9882601137937
244,Alger Capital Appreciation Instl Fd,Delaware Ivy Accumulative Fund,1135.2533595256925
245,Alger Capital Appreciation Instl Fd,Delaware Ivy Large Cap Growth Fund,673.3152368536203
246,Alger Capital Appreciation Instl Fd,Edgewood Growth Fund,666.7047174488588
247,Alger Capital Appreciation Instl Fd,Elfun Trusts,1204.6779408391535
248,Alger Capital Appreciation Instl Fd,Federated Hermes Kaufmann Lrg Cp Fd,639.4419421772724
249,Alger Capital Appreciation Instl Fd,Fidelity Advisor® Equity Growth Fund,614.6689205914654
250,Alger Capital Appreciation Instl Fd,Fidelity Advisor® Growth Opps Fd,980.0657731981524
251,Alger Capital Appreciation Instl Fd,Fidelity® Capital Appreciation Fund,455.19228970544543
252,Alger Capital Appreciation Instl Fd,Fidelity® Focused Stock Fund,721.5637459484849
253,Alger Capital Appreciation Instl Fd,Fidelity® Growth Discovery Fund,469.7755516484303
254,Alger Capital Appreciation Instl Fd,Fidelity® Large Cap Growth Enh Idx Fd,653.1928650395691
255,Alger Capital Appreciation Instl Fd,Fidelity® Trend Fund,641.3104512109311
256,Alger Capital Appreciation Instl Fd,GuideStone Funds Growth Equity Fund,733.1705334938342
257,Alger Capital Appreciation Instl Fd,Hartford Growth Opportunities Fund,804.8566495861994
258,Alger Capital Appreciation Instl Fd,Invesco Capital Appreciation Fd,664.0505561485013
259,Alger Capital Appreciation Instl Fd,Invesco Summit Fund,590.142677838984
260,Alger Capital Appreciation Instl Fd,JHFunds2 Capital Appreciation Fund,795.9702006295264
261,Alger Capital Appreciation Instl Fd,JHancock Blue Chip Growth Fund,539.6568209016197
262,Alger Capital Appreciation Instl Fd,JHancock US Global Leaders Growth Fund,871.6299407251772
263,Alger Capital Appreciation Instl Fd,JNL/BlackRock Large Cap Select Growth Fd,601.836834068247
264,Alger Capital Appreciation Instl Fd,JNL/T. Rowe Price Established Growth Fd,513.1712024632284
265,Alger Capital Appreciation Instl Fd,Jackson Square Large Cap Growth Fd,851.9378581201079
266,Alger Capital Appreciation Instl Fd,Janus Henderson Forty Fund,674.7944896792256
267,Alger Capital Appreciation Instl Fd,Janus Henderson Research Fund,614.0914118125457
268,Alger Capital Appreciation Instl Fd,John Hancock Funds III U.S. Growth Fd,747.4078819184026
269,Alger Capital Appreciation Instl Fd,Loomis Sayles Growth Fund,559.5188690667381
270,Alger Capital Appreciation Instl Fd,Lord Abbett Growth Leaders Fund,855.1140343420869
271,Alger Capital Appreciation Instl Fd,MFS Massachusetts Investors Gr Stk Fund,599.3905496165045
272,Alger Capital Appreciation Instl Fd,MainStay WMC Growth Fd,797.7939655592554
273,Alger Capital Appreciation Instl Fd,Morgan Stanley Insight Fund,1152.4113964536284
274,Alger Capital Appreciation Instl Fd,Neuberger Berman Large Cap Growth Fund,685.2095298848731
275,Alger Capital Appreciation Instl Fd,Nuveen Winslow Large-Cap Growth ESG Fund,662.9565245235915
276,Alger Capital Appreciation Instl Fd,Optimum Large Cap Growth Fund,512.2496667428856
277,Alger Capital Appreciation Instl Fd,PACE Large Co Growth Equity Invmt,793.1499492894159
278,Alger Capital Appreciation Instl Fd,PGIM Jennison Blend Fund,871.9275601218186
279,Alger Capital Appreciation Instl Fd,PGIM Jennison Growth Fund,873.4853549534938
280,Alger Capital Appreciation Instl Fd,Pioneer Disciplined Growth Fund,706.4561026699698
281,Alger Capital Appreciation Instl Fd,Pioneer Fundamental Growth Fund,676.6934934038876
282,Alger Capital Appreciation Instl Fd,Polen Growth Fund,611.6397198830432
283,Alger Capital Appreciation Instl Fd,PrimeCap Odyssey Growth Fund,839.8021724069348
284,Alger Capital Appreciation Instl Fd,Principal LargeCap Growth Fund I,524.7095148853947
285,Alger Capital Appreciation Instl Fd,Putnam Large Cap Growth Fund,399.9153006902759
286,Alger Capital Appreciation Instl Fd,Putnam Sustainable Leaders Fund,630.2135886544274
287,Alger Capital Appreciation Instl Fd,SEI Large Cap Growth (SIMT) Fund,764.9126313716764
288,Alger Capital Appreciation Instl Fd,Schwab Select Large Cap Growth Fund,536.2661139335055
289,Alger Capital Appreciation Instl Fd,T. Rowe Price Instl Large Cap Core Gr Fd,572.539049072644
290,Alger Capital Appreciation Instl Fd,TCW Select Equities Fund,583.2542618858084
291,Alger Capital Appreciation Instl Fd,TIAA-CREF Large-Cap Growth Fund,776.7428508427076
292,Alger Capital Appreciation Instl Fd,Thrivent Large Cap Growth Fund,693.2766645414313
293,Alger Capital Appreciation Instl Fd,Transamerica Capital Growth Fund,1100.9474537142728
294,Alger Capital Appreciation Instl Fd,Transamerica US Growth,717.2556751064054
295,Alger Capital Appreciation Instl Fd,VALIC Company I Growth Fund,791.2608999946141
